table,variable,type,n_present,n_missing,coverage,n_distinct,levels,example,description,documented
edges_bipartite,era,string,1922,20,0.99,8,ben_ali | bourguiba | monarchy | protectorate | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
edges_co_membership,source,string,38287,0,1.0,803,,Q12194585,"spine, wikidata, wikipedia:fr, wikipedia:ar, govtn_portal, leaders. govtn_portal is the government's own listing — authoritative on membership, but a dated snapshot with no appointment dates, so those rows carry date_basis = cabinet.",True
edges_co_membership,target,string,38287,0,1.0,816,,Q152369,"person_ids, sorted so each pair appears once.",True
edges_co_membership,weight,integer,38287,0,1.0,1696,,14208,Days of overlapping service (identical; weight is the conventional name).,True
edges_co_membership,overlap_days,integer,38287,0,1.0,1696,,14208,Days of overlapping service (identical; weight is the conventional name).,True
edges_co_membership,overlap_years,numeric,38287,0,1.0,1227,,38.9,Same quantity in years.,True
edges_co_membership,n_cabinets,integer,38287,0,1.0,7,,1,Distinct cabinets served in.,True
edges_co_membership,cabinets,string,38287,0,1.0,303,,Gouvernement Ben Ali,Which ones (piped).,True
edges_co_membership,eras,string,38287,0,1.0,24,,bourguiba,Eras in which the pair overlapped.,True
edges_co_membership,tie_type,string,38287,0,1.0,1,co_membership,,Always co_membership.,True
edges_succession,source,string,1976,0,1.0,819,,TN-abdelkader-belkhodja,"spine, wikidata, wikipedia:fr, wikipedia:ar, govtn_portal, leaders. govtn_portal is the government's own listing — authoritative on membership, but a dated snapshot with no appointment dates, so those rows carry date_basis = cabinet.",True
edges_succession,target,string,1976,0,1.0,812,,TN-mohamed-saadallah,"person_ids, sorted so each pair appears once.",True
edges_succession,portfolio,string,1976,0,1.0,36,,agriculture,"Harmonised portfolio (→ portfolios.canonical), 37 in use. other means the taxonomy could not classify raw_title (2.6% of rows); those titles are listed in data/interim/unmatched_titles.csv.",True
edges_succession,handover_date,date,1976,0,1.0,296,,1950-01-01,Successor's start date.,True
edges_succession,predecessor_tenure_days,numeric,1976,0,1.0,429,,1096.0,How long the predecessor lasted.,True
edges_succession,era,string,1976,0,1.0,9,ben_ali | beylical | bourguiba | monarchy | protectorate | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
edges_succession,weight,integer,1976,0,1.0,1,,1,Days of overlapping service (identical; weight is the conventional name).,True
edges_succession,tie_type,string,1976,0,1.0,1,succession,,Always co_membership.,True
edges_homophily,source,string,12613,0,1.0,447,,Q100261455,"spine, wikidata, wikipedia:fr, wikipedia:ar, govtn_portal, leaders. govtn_portal is the government's own listing — authoritative on membership, but a dated snapshot with no appointment dates, so those rows carry date_basis = cabinet.",True
edges_homophily,target,string,12613,0,1.0,460,,Q16262803,"person_ids, sorted so each pair appears once.",True
edges_homophily,tie_type,string,12613,0,1.0,3,shared_birth_governorate | shared_education | shared_parties,,Always co_membership.,True
edges_homophily,weight,integer,12613,0,1.0,3,,1,Days of overlapping service (identical; weight is the conventional name).,True
edges_homophily,shared_values,string,12613,0,1.0,185,,le kef,The values held in common (piped).,True
